B013801,B013801,B034501,B034501,B034601,B034601,B034903,B034903,B035002,B035002,B035101,B035101,B035201,B035201,value
11-25 books,11-25 books,Never,Never,Yes,Yes,Very much like me,Very much like me,About half of the time,About half of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,238.478377964502
26-100 books,26-100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,About half of the time,About half of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,244.841432781909
More than 100 books,More than 100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,About half of the time,About half of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,249.852298110224
26-100 books,26-100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,About half of the time,About half of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,250.288303534571
More than 100 books,More than 100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,About half of the time,About half of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,256.016551496377
11-25 books,11-25 books,Never,Never,Yes,Yes,Very much like me,Very much like me,About half of the time,About half of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,247.701172507557
26-100 books,26-100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,About half of the time,About half of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,259.983953317833
More than 100 books,More than 100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,About half of the time,About half of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,261.321036030287
11-25 books,11-25 books,Never,Never,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Not at all like me,Not at all like me,Never or hardly ever,Never or hardly ever,228.988104141982
26-100 books,26-100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Not at all like me,Not at all like me,Never or hardly ever,Never or hardly ever,243.074550342692
More than 100 books,More than 100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Not at all like me,Not at all like me,Never or hardly ever,Never or hardly ever,233.03066053895
11-25 books,11-25 books,Never,Never,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,A little bit like me,A little bit like me,Never or hardly ever,Never or hardly ever,233.420212482452
26-100 books,26-100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,A little bit like me,A little bit like me,Never or hardly ever,Never or hardly ever,251.596001855488
More than 100 books,More than 100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,A little bit like me,A little bit like me,Never or hardly ever,Never or hardly ever,255.701522570016
11-25 books,11-25 books,Never,Never,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,245.523798373764
26-100 books,26-100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,253.454085768802
More than 100 books,More than 100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,257.883602295149
26-100 books,26-100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Somewhat like me,Somewhat like me,< half the time,< half the time,246.269103515694
0-10 books,0-10 books,Never,Never,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,241.269487928634
11-25 books,11-25 books,Never,Never,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,243.569129484536
26-100 books,26-100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,258.463905709
More than 100 books,More than 100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Quite a bit like me,Quite a bit like me,Never or hardly ever,Never or hardly ever,260.675349557199
26-100 books,26-100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Quite a bit like me,Quite a bit like me,< half the time,< half the time,258.26589421394
More than 100 books,More than 100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Quite a bit like me,Quite a bit like me,< half the time,< half the time,262.715578385378
0-10 books,0-10 books,Never,Never,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,247.756235461066
11-25 books,11-25 books,Never,Never,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,254.792152761822
26-100 books,26-100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,263.487420470864
More than 100 books,More than 100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Very much like me,Very much like me,Never or hardly ever,Never or hardly ever,272.630436643072
More than 100 books,More than 100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Very much like me,Very much like me,< half the time,< half the time,271.355600573474
More than 100 books,More than 100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,More than half of the time,More than half of the time,Very much like me,Very much like me,All or most of time,All or most of time,249.775713773036
0-10 books,0-10 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Not at all like me,Not at all like me,Never or hardly ever,Never or hardly ever,221.701785241239
11-25 books,11-25 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Not at all like me,Not at all like me,Never or hardly ever,Never or hardly ever,223.914173303635
26-100 books,26-100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Not at all like me,Not at all like me,Never or hardly ever,Never or hardly ever,234.241031797033
More than 100 books,More than 100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Not at all like me,Not at all like me,Never or hardly ever,Never or hardly ever,238.631870193224
0-10 books,0-10 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Not at all like me,Not at all like me,All or most of time,All or most of time,212.555655283195
11-25 books,11-25 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Not at all like me,Not at all like me,All or most of time,All or most of time,212.958886270589
26-100 books,26-100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Not at all like me,Not at all like me,All or most of time,All or most of time,223.878261179692
More than 100 books,More than 100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Not at all like me,Not at all like me,All or most of time,All or most of time,219.6607711937
0-10 books,0-10 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,A little bit like me,A little bit like me,Never or hardly ever,Never or hardly ever,233.533101005159
11-25 books,11-25 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,A little bit like me,A little bit like me,Never or hardly ever,Never or hardly ever,236.585065990491
26-100 books,26-100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,A little bit like me,A little bit like me,Never or hardly ever,Never or hardly ever,241.086108224151
More than 100 books,More than 100 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,A little bit like me,A little bit like me,Never or hardly ever,Never or hardly ever,240.688935303303
0-10 books,0-10 books,Never,Never,Yes,Yes,Very much like me,Very much like me,All or almost all of the time,All or almost all of the time,Somewhat like me,Somewhat like me,Never or hardly ever,Never or hardly ever,234.051265011787
